material_category,synthesis_method,paper_published_date,source
ceramics & glasses,wet chemical synthesis,2017,arxiv
ceramics & glasses,wet chemical synthesis,2017,arxiv
ceramics & glasses,wet chemical synthesis,2017,arxiv
ceramics & glasses,solid-state,2017,arxiv
ceramics & glasses,other,2017,arxiv
ceramics & glasses,wet chemical synthesis,2017,arxiv
ceramics & glasses,solid-state,2017,arxiv
ceramics & glasses,other,2017,arxiv
nanomaterials,self-assembly,2017,arxiv
nanomaterials,self-assembly,2017,arxiv
nanomaterials,wet chemical synthesis,2017,arxiv
nanomaterials,self-assembly,2017,arxiv
thin films,MBE,2019,arxiv
functional materials,wet chemical synthesis,2022,chemrxiv
functional materials,precipitation,2022,chemrxiv
liquid materials,self-assembly,2020,arxiv
liquid materials,wet chemical synthesis,2020,arxiv
liquid materials,wet chemical synthesis,2020,arxiv
liquid materials,wet chemical synthesis,2020,arxiv
liquid materials,wet chemical synthesis,2020,arxiv
liquid materials,mixing,2016,arxiv
semiconductors & electronic,wet chemical synthesis,2018,arxiv
semiconductors & electronic,wet chemical synthesis,2018,arxiv
functional materials,other,2019,chemrxiv
functional materials,wet chemical synthesis,2019,chemrxiv
functional materials,other,2019,chemrxiv
functional materials,wet chemical synthesis,2019,chemrxiv
functional materials,other,2019,chemrxiv
functional materials,wet chemical synthesis,2019,chemrxiv
ceramics & glasses,solid-state,2014,arxiv
nanomaterials,pulsed laser deposition,2009,arxiv
metals & alloys,PVD,2019,arxiv
metals & alloys,PVD,2019,arxiv
metals & alloys,PVD,2019,arxiv
two-dimensional materials,CVD,2018,chemrxiv
semiconductors & electronic,molecular beam epitaxy,2022,arxiv
nanomaterials,ball milling,2024,chemrxiv
nanomaterials,ball milling,2024,chemrxiv
nanomaterials,PVD,2020,chemrxiv
superconductors,solid-state,2013,arxiv
superconductors & electronic,solid-state,2013,arxiv
other,other,2021,arxiv
semiconductors & electronic,self-assembly,2019,arxiv
semiconductors & electronic,solid-state,2019,arxiv
nanomaterials,wet chemical synthesis,2010,arxiv
nanomaterials,wet chemical synthesis,2010,arxiv
functional materials,solid-state,2012,arxiv
semiconductors & electronic,flux growth,2024,arxiv
semiconductors & electronic,flux growth,2024,arxiv
two-dimensional materials,mechanical exfoliation,2025,arxiv
two-dimensional materials,CVD,2020,arxiv
ceramics & glasses,pulsed laser deposition,2004,arxiv
two-dimensional materials,wet chemical synthesis,2006,arxiv
ceramics & glasses,solid-state,2002,arxiv
ceramics & glasses,wet chemical synthesis,2004,arxiv
ceramics & glasses,pulsed laser deposition,2000,arxiv
ceramics & glasses,pulsed laser deposition,2000,arxiv
semiconductors & electronic,pulsed laser deposition,2006,arxiv
nanomaterials,wet chemical synthesis,2006,arxiv
ceramics & glasses,pulsed laser deposition,2000,arxiv
ceramics & glasses,pulsed laser deposition,2000,arxiv
metals & alloys,other,2002,arxiv
metals & alloys,other,2002,arxiv
metals & alloys,other,2002,arxiv
ceramics & glasses,other,2001,arxiv
ceramics & glasses,other,2001,arxiv
nanomaterials,CVD,2005,arxiv
ceramics & glasses,atomic layer deposition,2005,arxiv
metals & alloys,arc melting & induction melting,2005,arxiv
ceramics & glasses,solid-state,1998,arxiv
semiconductors & electronic,PVD,2005,arxiv
ceramics & glasses,float zone & Bridgman,2006,arxiv
metals & alloys,other,2002,arxiv
nanomaterials,other,2002,arxiv
ceramics & glasses,solid-state,1996,arxiv
semiconductors & electronic,other,2007,arxiv
metals & alloys,PVD,2007,arxiv
semiconductors & electronic,spray pyrolysis,2020,chemrxiv
two-dimensional materials,pulsed laser deposition,2013,arxiv
two-dimensional materials,flux growth,2021,arxiv
two-dimensional materials,hydrothermal,2024,arxiv
composites,hydrothermal,2024,arxiv
nanomaterials,other,2022,chemrxiv
nanomaterials,wet chemical synthesis,2022,chemrxiv
nanomaterials,lithographic patterning,2008,arxiv
framework & porous materials,solid-state,2023,chemrxiv
superconductors & electronic,solid-state,2014,arxiv
other,solid-state,2014,arxiv
two-dimensional materials,self-assembly,2024,arxiv
two-dimensional materials,dry transfer,2024,arxiv
two-dimensional materials,other,2024,arxiv
two-dimensional materials,other,2024,arxiv
semiconductors & electronic,atomic layer deposition,2020,arxiv
ceramics & glasses,wet chemical synthesis,2017,arxiv
functional materials,PVD,2011,arxiv
ceramics & glasses,PVD,2011,arxiv
polymers & soft matter,wet chemical synthesis,2022,chemrxiv
polymers & soft matter,wet chemical synthesis,2022,chemrxiv
polymers & soft matter,wet chemical synthesis,2022,chemrxiv
polymers & soft matter,wet chemical synthesis,2022,chemrxiv
polymers & soft matter,wet chemical synthesis,2019,arxiv
polymers & soft matter,wet chemical synthesis,2019,arxiv
two-dimensional materials,molecular beam epitaxy,2012,arxiv
two-dimensional materials,CVD,2019,chemrxiv
semiconductors & electronic,wet chemical synthesis,2023,chemrxiv
nanomaterials,molecular beam epitaxy,2008,arxiv
functional materials,wet chemical synthesis,2024,chemrxiv
metals & alloys,PVD,2020,arxiv
metals & alloys,PVD,2020,arxiv
ceramics & glasses,solid-state,2019,chemrxiv
ceramics & glasses,PVD,2020,chemrxiv
emerging & quantum materials,float zone & Bridgman,2007,arxiv
other,other,2012,arxiv
framework & porous materials,ionothermal,2025,chemrxiv
framework & porous materials,ion exchange,2025,chemrxiv
framework & porous materials,ion exchange,2025,chemrxiv
framework & porous materials,ion exchange,2025,chemrxiv
framework & porous materials,ion exchange,2025,chemrxiv
ceramics & glasses,solid-state,2014,arxiv
ceramics & glasses,other,2014,arxiv
thin films,pulsed laser deposition,2015,arxiv
other,other,2025,chemrxiv
composites,other,2025,chemrxiv
nanomaterials,wet chemical synthesis,2022,chemrxiv
nanomaterials,wet chemical synthesis,2022,chemrxiv
nanomaterials,wet chemical synthesis,2022,chemrxiv
nanomaterials,wet chemical synthesis,2022,chemrxiv
nanomaterials,wet chemical synthesis,2022,chemrxiv
other,wet chemical synthesis,2021,chemrxiv
other,other,2021,chemrxiv
other,wet chemical synthesis,2021,chemrxiv
other,wet chemical synthesis,2021,chemrxiv
functional materials,wet chemical synthesis,2021,chemrxiv
functional materials,wet chemical synthesis,2021,chemrxiv
functional materials,wet chemical synthesis,2021,chemrxiv
functional materials,wet chemical synthesis,2021,chemrxiv
functional materials,wet chemical synthesis,2021,chemrxiv
functional materials,wet chemical synthesis,2021,chemrxiv
functional materials,wet chemical synthesis,2021,chemrxiv
functional materials,wet chemical synthesis,2021,chemrxiv
functional materials,wet chemical synthesis,2021,chemrxiv
functional materials,wet chemical synthesis,2021,chemrxiv
functional materials,wet chemical synthesis,2021,chemrxiv
functional materials,wet chemical synthesis,2021,chemrxiv
two-dimensional materials,electrochemical deposition,2017,arxiv
framework & porous materials,solvothermal,2024,chemrxiv
framework & porous materials,solvothermal,2024,chemrxiv
framework & porous materials,solvothermal,2024,chemrxiv
framework & porous materials,solvothermal,2024,chemrxiv
framework & porous materials,solvothermal,2024,chemrxiv
framework & porous materials,solvothermal,2024,chemrxiv
framework & porous materials,solvothermal,2024,chemrxiv
framework & porous materials,solvothermal,2024,chemrxiv
framework & porous materials,solvothermal,2024,chemrxiv
nanomaterials,combustion,2016,arxiv
semiconductors & electronic,solid-state,2013,arxiv
metals & alloys,electrochemical deposition,2021,chemrxiv
metals & alloys,electrochemical deposition,2021,chemrxiv
nanomaterials,wet chemical synthesis,2023,chemrxiv
nanomaterials,wet chemical synthesis,2023,chemrxiv
semiconductors & electronic,other,2024,arxiv
functional materials,PVD,2024,arxiv
nanomaterials,wet chemical synthesis,2023,arxiv
nanomaterials,other,2023,arxiv
nanomaterials,other,2023,arxiv
semiconductors & electronic,wet chemical synthesis,2022,arxiv
ceramics & glasses,solid-state,2023,arxiv
ceramics & glasses,hydrothermal,2023,chemrxiv
metals & alloys,flux growth,2016,arxiv
semiconductors & electronic,chemical vapor transport,2019,arxiv
semiconductors & electronic,PVD,2020,arxiv
hybrid & organic-inorganic,PVD,2020,arxiv
composites,wet chemical synthesis,2022,chemrxiv
ceramics & glasses,other,2011,arxiv
ceramics & glasses,other,2011,arxiv
two-dimensional materials,mechanical exfoliation,2019,arxiv
nanomaterials,thin film method,2019,chemrxiv
nanomaterials,wet chemical synthesis,2020,chemrxiv
composites,wet chemical synthesis,2020,chemrxiv
two-dimensional materials,two-zone vapor transport method,2010,arxiv
two-dimensional materials,pulsed laser deposition,2016,arxiv
two-dimensional materials,pulsed laser deposition,2016,arxiv
ceramics & glasses,float zone & Bridgman,2010,arxiv
organic-inorganic hybrid,wet chemical synthesis,2025,chemrxiv
organic-inorganic hybrid,wet chemical synthesis,2025,chemrxiv
organic,wet chemical synthesis,2025,chemrxiv
nanomaterials,PVD,2011,arxiv
semiconductors & electronic,other,2007,arxiv
nanomaterials,PVD,2022,arxiv
metals & alloys,PVD,2022,arxiv
ceramics & glasses,solid-state,2018,chemrxiv
ceramics & glasses,solid-state,2018,chemrxiv
ceramics & glasses,solid-state,2018,chemrxiv
ceramics & glasses,solid-state,2018,chemrxiv
framework & porous materials,ion exchange,2018,chemrxiv
framework & porous materials,hydrothermal,2018,chemrxiv
metals & alloys,wet chemical synthesis,2012,arxiv
metals & alloys,wet chemical synthesis,2012,arxiv
other,wet chemical synthesis,2019,chemrxiv
semiconductors & electronic,atomic layer deposition,2019,chemrxiv
functional materials,other,2024,chemrxiv
functional materials,other,2024,chemrxiv
functional materials,wet chemical synthesis,2024,chemrxiv
framework & porous materials,other,2024,chemrxiv
framework & porous materials,other,2024,chemrxiv
two-dimensional materials,MBE,2025,arxiv
semiconductors & electronic,aerosol assisted,2022,chemrxiv
semiconductors & electronic,aerosol assisted,2022,chemrxiv
polymers & soft matter,wet chemical synthesis,2023,chemrxiv
composites,wet chemical synthesis,2024,chemrxiv
catalysts,wet chemical synthesis,2024,chemrxiv
other,wet chemical synthesis,2024,chemrxiv
other,wet chemical synthesis,2024,chemrxiv
other,wet chemical synthesis,2024,chemrxiv
nanomaterials,wet chemical synthesis,2021,chemrxiv
nanomaterials,wet chemical synthesis,2021,chemrxiv
nanomaterials,electropolymerization,2023,chemrxiv
semiconductors & electronic,CVD,2021,chemrxiv
framework & porous materials,wet chemical synthesis,2024,chemrxiv
framework & porous materials,self-assembly,2019,chemrxiv
framework & porous materials,self-assembly,2019,chemrxiv
hybrid & organic-inorganic,self-assembly,2019,chemrxiv
hybrid & organic-inorganic,wet chemical synthesis,2019,chemrxiv
framework & porous materials,self-assembly,2019,chemrxiv
hybrid & organic-inorganic,self-assembly,2019,chemrxiv
framework & porous materials,self-assembly,2019,chemrxiv
framework & porous materials,self-assembly,2019,chemrxiv
framework & porous materials,self-assembly,2019,chemrxiv
framework & porous materials,self-assembly,2019,chemrxiv
nanomaterials,CVD,2021,arxiv
composites,sol-gel processing,2024,chemrxiv
other,other,2017,arxiv
ceramics & glasses,PVD,2022,chemrxiv
pharmaceutical cocrystals,SpeedMixing,2022,chemrxiv
pharmaceutical cocrystal,SpeedMixing,2022,chemrxiv
pharmaceutical cocrystal,SpeedMixing,2022,chemrxiv
pharmaceutical cocrystal,SpeedMixing,2022,chemrxiv
pharmaceutical cocrystal,SpeedMixing,2022,chemrxiv
pharmaceutical cocrystal,SpeedMixing,2022,chemrxiv
pharmaceutical cocrystal,SpeedMixing,2022,chemrxiv
pharmaceuticals,SpeedMixing,2022,chemrxiv
pharmaceutical cocrystal,SpeedMixing,2022,chemrxiv
hybrid & organic-inorganic,wet chemical synthesis,2025,chemrxiv
hybrid & organic-inorganic,wet chemical synthesis,2025,chemrxiv
hybrid & organic-inorganic,wet chemical synthesis,2025,chemrxiv
hybrid & organic-inorganic,wet chemical synthesis,2025,chemrxiv
hybrid & organic-inorganic,wet chemical synthesis,2025,chemrxiv
semiconductors & electronic,flux growth,2017,arxiv
semiconductors & electronic,flux growth,2017,arxiv
functional materials,wet chemical synthesis,2018,chemrxiv
polymers & soft matter,wet chemical synthesis,2018,chemrxiv
functional materials,wet chemical synthesis,2018,chemrxiv
polymers & soft matter,wet chemical synthesis,2018,chemrxiv
functional materials,PVD,2016,arxiv
nanomaterials,wet chemical synthesis,2023,chemrxiv
other,wet chemical synthesis,2023,chemrxiv
other,wet chemical synthesis,2023,chemrxiv
ceramics & glasses,solid-state,2019,arxiv
ceramics & glasses,solid-state,2019,arxiv
ceramics & glasses,solid-state,2019,arxiv
polymers & soft matter,other,2018,chemrxiv
polymers & soft matter,other,2018,chemrxiv
polymers & soft matter,wet chemical synthesis,2018,chemrxiv
polymers & soft matter,other,2018,chemrxiv
polymers & soft matter,other,2018,chemrxiv
polymers & soft matter,other,2018,chemrxiv
polymers & soft matter,wet chemical synthesis,2018,chemrxiv
polymers & soft matter,wet chemical synthesis,2018,chemrxiv
polymers & soft matter,wet chemical synthesis,2018,chemrxiv
polymers & soft matter,wet chemical synthesis,2018,chemrxiv
metals & alloys,thermal deposition,2019,arxiv
semiconductors & electronic,topotactic reduction,2021,arxiv
semiconductors & electronic,topotactic reduction,2021,arxiv
two-dimensional materials,MBE,2021,arxiv
two-dimensional materials,other,2021,arxiv
semiconductors & electronic,flux growth,2023,arxiv
framework & porous materials,solvothermal,2022,chemrxiv
framework & porous materials,solvothermal,2022,chemrxiv
framework & porous materials,solvothermal,2022,chemrxiv
framework & porous materials,solvothermal,2022,chemrxiv
framework & porous materials,other,2022,chemrxiv
framework & porous materials,solid-state,2022,chemrxiv
framework & porous materials,other,2022,chemrxiv
framework & porous materials,other,2022,chemrxiv
framework & porous materials,solvothermal,2022,chemrxiv
framework & porous materials,thermal treatment,2022,chemrxiv
ceramics & glasses,ball milling,2023,chemrxiv
nanomaterials,wet chemical synthesis,2019,chemrxiv
nanomaterials,wet chemical synthesis,2019,chemrxiv
nanomaterials,wet chemical synthesis,2019,chemrxiv
nanomaterials,other,2019,chemrxiv
composites,hydrothermal,2024,chemrxiv
composites,hydrothermal,2024,chemrxiv
composites,hydrothermal,2024,chemrxiv
nanomaterials,template-directed,2024,chemrxiv
nanomaterials,other,2024,chemrxiv
nanomaterials,other,2024,chemrxiv
superconductors & electronic,arc melting & induction melting,2022,arxiv
superconductors & electronic,arc melting & induction melting,2022,arxiv
metals & alloys,magnetron sputtering,2010,arxiv
metals & alloys,other,2010,arxiv
two-dimensional materials,ball milling,2024,chemrxiv
two-dimensional materials,ball milling,2024,chemrxiv
two-dimensional materials,ball milling,2024,chemrxiv
two-dimensional materials,ball milling,2024,chemrxiv
two-dimensional materials,ball milling,2024,chemrxiv
nanomaterials,solvothermal,2024,chemrxiv
functional materials,solid-state,2015,arxiv
metals & alloys,flux growth,2024,arxiv
semiconductors & electronic,other,2021,arxiv
functional materials,ball milling,2024,chemrxiv
functional materials,ball milling,2024,chemrxiv
functional materials,ball milling,2024,chemrxiv
functional materials,ball milling,2024,chemrxiv
functional materials,ball milling,2024,chemrxiv
functional materials,ball milling,2024,chemrxiv
functional materials,ball milling,2024,chemrxiv
functional materials,ball milling,2024,chemrxiv
functional materials,ball milling,2024,chemrxiv
functional materials,ball milling,2024,chemrxiv
functional materials,ball milling,2024,chemrxiv
functional materials,ball milling,2024,chemrxiv
biomaterials & biological,wet chemical synthesis,2024,chemrxiv
biomaterials & biological,wet chemical synthesis,2024,chemrxiv
hybrid & organic-inorganic,wet chemical synthesis,2024,chemrxiv
semiconductors & electronic,solid-state,2017,arxiv
semiconductors & electronic,solid-state,2017,arxiv
composites,three-dimensional printing,2013,arxiv
composites,lithographic patterning,2013,arxiv
composites,capillary rise infiltration,2025,chemrxiv
composites,wet chemical synthesis,2021,chemrxiv
composites,wet chemical synthesis,2020,omg24
composites,spark plasma sintering,2020,omg24
other,other,2023,omg24
nanomaterials,hydrothermal,2017,omg24
nanomaterials,hydrothermal,2017,omg24
nanomaterials,hydrothermal,2017,omg24
nanomaterials,hydrothermal,2017,omg24
hybrid & organic-inorganic,wet chemical synthesis,2018,chemrxiv
hybrid & organic-inorganic,wet chemical synthesis,2018,chemrxiv
functional materials,atomic layer deposition,2018,chemrxiv
nanomaterials,wet chemical synthesis,2015,omg24
other,other,2015,omg24
nanomaterials,wet chemical synthesis,2015,omg24
nanomaterials,wet chemical synthesis,2015,omg24
nanomaterials,microfluidic,2015,omg24
functional materials,wet chemical synthesis,2015,omg24
hybrid & organic-inorganic,wet chemical synthesis,2015,omg24
other,other,2023,omg24
nanomaterials,wet chemical synthesis,2025,chemrxiv
nanomaterials,wet chemical synthesis,2025,chemrxiv
other,other,2025,chemrxiv
nanomaterials,wet chemical synthesis,2025,chemrxiv
nanomaterials,wet chemical synthesis,2025,chemrxiv
other,other,2025,chemrxiv
hybrid & organic-inorganic,wet chemical synthesis,2021,omg24
biomaterials & biological,self-assembly,2023,chemrxiv
hybrid & organic-inorganic,other,2023,chemrxiv
hybrid & organic-inorganic,wet chemical synthesis,2023,chemrxiv
functional materials,wet chemical synthesis,2023,chemrxiv
hybrid & organic-inorganic,wet chemical synthesis,2023,chemrxiv
hybrid & organic-inorganic,wet chemical synthesis,2023,chemrxiv
other,other,2023,chemrxiv
functional materials,wet chemical synthesis,2023,chemrxiv
hybrid & organic-inorganic,wet chemical synthesis,2023,chemrxiv
functional materials,wet chemical synthesis,2023,chemrxiv
hybrid & organic-inorganic,wet chemical synthesis,2023,chemrxiv
hybrid & organic-inorganic,wet chemical synthesis,2023,chemrxiv
functional materials,wet chemical synthesis,2023,chemrxiv
hybrid & organic-inorganic,wet chemical synthesis,2023,chemrxiv
functional materials,wet chemical synthesis,2023,omg24
nanomaterials,wet chemical synthesis,2023,omg24
composites,wetness impregnation,2023,omg24
functional materials,wet chemical synthesis,2023,omg24
ceramics & glasses,wet chemical synthesis,2023,omg24
functional materials,wet chemical synthesis,2023,omg24
composites,wet chemical synthesis,2022,chemrxiv
ceramics & glasses,solid-state,2024,chemrxiv
hybrid & organic-inorganic,solid-state,2024,chemrxiv
functional materials,solid-state,2024,chemrxiv
nanomaterials,lithographic patterning,2023,chemrxiv
semiconductors & electronic,lithographic patterning,2023,chemrxiv
two-dimensional materials,MOCVD,2023,chemrxiv
nanomaterials,wet chemical synthesis,2020,omg24
functional materials,wet chemical synthesis,2020,omg24
functional materials,wet chemical synthesis,2020,omg24
other,other,2024,chemrxiv
other,other,2024,chemrxiv
hybrid & organic-inorganic,other,2024,chemrxiv
hybrid & organic-inorganic,wet chemical synthesis,2024,chemrxiv
other,other,2019,omg24
nanomaterials,sol-gel processing,2022,omg24
nanomaterials,sol-gel processing,2022,omg24
nanomaterials,sol-gel processing,2022,omg24
hybrid & organic-inorganic,sol-gel processing,2022,omg24
other,other,2021,omg24
other,other,2023,omg24
framework & porous materials,solvothermal,2021,chemrxiv
two-dimensional materials,CVD,2019,omg24
other,other,2007,arxiv
semiconductors & electronic,PVD,2005,arxiv
semiconductors & electronic,filtered vacuum arc deposition,2005,arxiv
semiconductors & electronic,filtered vacuum arc deposition (FVAD),2005,arxiv
ceramics & glasses,solid-state,1996,arxiv
ceramics & glasses,solid-state,1996,arxiv
functional materials,solid-state,1996,arxiv
functional materials,solid-state,1996,arxiv
functional materials,solid-state,1996,arxiv
functional materials,solid-state,1996,arxiv
other,other,2002,arxiv
semiconductors & electronic,pulsed laser deposition,2000,arxiv
functional materials,pulsed laser deposition,2000,arxiv
semiconductors & electronic,pulsed laser deposition,2000,arxiv
semiconductors & electronic,pulsed laser deposition,2000,arxiv
functional materials,wet chemical synthesis,2004,arxiv
ceramics & glasses,flux growth,2001,arxiv
functional materials,flux growth,2001,arxiv
nanomaterials,wet chemical synthesis,2006,arxiv
other,other,2002,arxiv
functional materials,pulsed laser deposition,2004,arxiv
other,other,2023,omg24
nanomaterials,wet chemical synthesis,2023,omg24
functional materials,iCVD,2023,chemrxiv
other,other,2023,omg24
hybrid & organic-inorganic,wet chemical synthesis,2020,chemrxiv
hybrid & organic-inorganic,wet chemical synthesis,2020,chemrxiv
hybrid & organic-inorganic,wet chemical synthesis,2020,chemrxiv
hybrid & organic-inorganic,wet chemical synthesis,2020,chemrxiv
other,other,2020,chemrxiv
hybrid & organic-inorganic,wet chemical synthesis,2020,chemrxiv
hybrid & organic-inorganic,wet chemical synthesis,2020,chemrxiv
functional materials,wet chemical synthesis,2020,chemrxiv
functional materials,wet chemical synthesis,2020,chemrxiv
functional materials,wet chemical synthesis,2020,chemrxiv
nanomaterials,pulsed laser deposition,2013,omg24
nanomaterials,pulsed laser deposition,2013,omg24
nanomaterials,pulsed laser deposition,2013,omg24
nanomaterials,hydrothermal,2016,omg24
nanomaterials,hydrothermal,2016,omg24
nanomaterials,solvothermal,2016,omg24
other,other,2023,omg24
other,other,2021,omg24
functional materials,solid-state,2021,chemrxiv
functional materials,solid-state,2021,chemrxiv
energy & sustainability,solid-state,2021,chemrxiv
other,solid-state,2021,chemrxiv
functional materials,solid-state,2021,chemrxiv
functional materials,wet chemical synthesis,2022,chemrxiv
other,other,2022,chemrxiv
functional materials,wet chemical synthesis,2022,chemrxiv
hybrid & organic-inorganic,photocycloaddition,2022,chemrxiv
other,other,2018,omg24
semiconductors & electronic,sol-gel processing,2022,omg24
semiconductors & electronic,sol-gel processing,2022,omg24
other,other,2023,omg24
other,other,2022,omg24
other,other,2019,omg24
nanomaterials,wet chemical synthesis,2020,omg24
ceramics & glasses,wet chemical synthesis,2020,omg24
nanomaterials,hydrothermal,2020,chemrxiv
nanomaterials,hydrothermal,2020,chemrxiv
nanomaterials,hydrothermal,2020,chemrxiv
metals & alloys,other,2020,chemrxiv
nanomaterials,hydrothermal,2020,chemrxiv
nanomaterials,solvothermal,2023,omg24
framework & porous materials,solvothermal,2023,omg24
nanomaterials,solvothermal,2023,omg24
framework & porous materials,solvothermal,2023,omg24
polymers & soft matter,other,2023,omg24
hybrid & organic-inorganic,solvothermal,2023,omg24
hybrid & organic-inorganic,wet chemical synthesis,2021,chemrxiv
hybrid & organic-inorganic,wet chemical synthesis,2021,chemrxiv
hybrid & organic-inorganic,wet chemical synthesis,2021,chemrxiv
hybrid & organic-inorganic,wet chemical synthesis,2021,chemrxiv
hybrid & organic-inorganic,wet chemical synthesis,2021,chemrxiv
framework & porous materials,self-assembly,2021,chemrxiv
framework & porous materials,self-assembly,2021,chemrxiv
framework & porous materials,self-assembly,2021,chemrxiv
framework & porous materials,self-assembly,2021,chemrxiv
framework & porous materials,self-assembly,2021,chemrxiv
framework & porous materials,wet chemical synthesis,2025,chemrxiv
framework & porous materials,wet chemical synthesis,2025,chemrxiv
nanomaterials,wet chemical synthesis,2025,chemrxiv
framework & porous materials,wet chemical synthesis,2025,chemrxiv
framework & porous materials,wet chemical synthesis,2025,chemrxiv
hybrid & organic-inorganic,wet chemical synthesis,2024,chemrxiv
hybrid & organic-inorganic,wet chemical synthesis,2024,chemrxiv
hybrid & organic-inorganic,wet chemical synthesis,2024,chemrxiv
hybrid & organic-inorganic,mechanochemistry,2015,omg24
hybrid & organic-inorganic,mechanochemistry,2015,omg24
composites,wet chemical synthesis,2024,chemrxiv
composites,wet chemical synthesis,2024,chemrxiv
nanomaterials,wet chemical synthesis,2019,omg24
metals & alloys,other,2019,omg24
nanomaterials,other,2019,omg24
other,other,2023,omg24
other,other,2018,omg24
hybrid & organic-inorganic,wet chemical synthesis,2022,omg24
hybrid & organic-inorganic,wet chemical synthesis,2022,omg24
framework & porous materials,wet chemical synthesis,2018,chemrxiv
nanomaterials,wet chemical synthesis,2018,chemrxiv
hybrid & organic-inorganic,wet chemical synthesis,2018,chemrxiv
polymers & soft matter,self-assembly,2018,chemrxiv
framework & porous materials,other,2018,chemrxiv
